City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tosya,41.0155,34.0401,33.82,83,38,2.73,TR,1673196029
Punta Arenas,-53.15,-70.9167,57.31,54,0,11.5,CL,1673196030
Umluj,25.0213,37.2685,71.89,51,100,6.13,SA,1673196031
Mar del Plata,-38.0023,-57.5575,85.82,80,20,21.0,AR,1673196033
Albany,42.6001,-73.9662,30.63,67,2,3.09,US,1673196034
Oga,46.4631,10.347,34.34,98,100,5.1,IT,1673196036
Vaini,-21.2,-175.2,75.36,100,75,0.0,TO,1673196037
Pevek,69.7008,170.3133,-30.12,99,38,4.38,RU,1673196038
Rikitea,-23.1203,-134.9692,77.85,76,18,18.01,PF,1673195965
Swan Hill,-35.3378,143.5544,76.37,26,63,6.4,AU,1673196041
Ust'-Karsk,52.7011,118.8077,-17.14,100,87,2.77,RU,1673196042
Geraldton,-28.7667,114.6,68.41,83,0,13.8,AU,1673196043
Barrow,71.2906,-156.7887,-2.18,78,100,14.97,US,1673196045
Souillac,-20.5167,57.5167,79.18,78,40,8.05,MU,1673196046
Kholm-Zhirkovskiy,55.5189,33.4731,3.97,94,15,5.73,RU,1673196047
Kruisfontein,-34.0033,24.7314,73.9,61,74,11.59,ZA,1673196049
Goundam,16.4145,-3.6708,84.88,12,83,14.74,ML,1673196050
Zelenoborskiy,66.845,32.3622,-5.03,96,57,4.56,RU,1673196051
North Platte,41.1239,-100.7654,21.09,73,0,4.61,US,1673196053
Bethel,41.3712,-73.414,37.54,59,0,8.05,US,1673196054
Camacha,33.0833,-16.3333,65.62,77,40,10.36,PT,1673196055
Ushuaia,-54.8,-68.3,65.86,34,20,5.75,AR,1673196057
Torbay,47.6666,-52.7314,32.58,81,75,9.22,CA,1673196058
Namatanai,-3.6667,152.4333,78.69,83,95,4.92,PG,1673196059
Komarikhinskiy,58.0979,57.1163,-19.17,100,100,3.49,RU,1673196061
Puerto Ayora,-0.7393,-90.3518,80.56,92,15,3.0,EC,1673196010
Khandyga,62.6667,135.6,-40.22,96,90,2.91,RU,1673196063
Erenhot,43.6475,111.9767,21.0,59,100,5.48,CN,1673196065
Ilulissat,69.2167,-51.1,3.22,66,0,4.61,GL,1673196067
Hermanus,-34.4187,19.2345,75.79,76,1,12.33,ZA,1673196068
New Norfolk,-42.7826,147.0587,60.3,67,2,3.02,AU,1673196069
Port Alfred,-33.5906,26.891,74.17,76,80,7.0,ZA,1673196071
Cherskiy,68.75,161.3,-37.95,100,99,5.86,RU,1673196072
Miyako,39.6367,141.9525,33.75,74,74,5.19,JP,1673196073
Dikson,73.5069,80.5464,-30.32,93,25,12.19,RU,1673196075
Tuktoyaktuk,69.4541,-133.0374,-2.2,84,75,4.61,CA,1673196076
Leticia,-4.2153,-69.9406,75.25,100,100,3.44,CO,1673196078
Necochea,-38.5473,-58.7368,86.49,39,0,10.22,AR,1673196079
Codrington,-38.2667,141.9667,61.07,94,3,10.2,AU,1673196081
Nizhniy Tsasuchey,50.5167,115.1333,-4.25,96,6,3.6,RU,1673196082
Mayna,54.1135,47.6231,-17.27,99,97,6.58,RU,1673196083
Miraflores,19.2167,-98.8083,66.97,33,0,3.89,MX,1673196085
Boa Vista,2.8197,-60.6733,84.18,65,75,4.61,BR,1673196086
Ribeira Grande,38.5167,-28.7,64.8,94,75,13.8,PT,1673196087
Burlington,39.8835,-74.6413,41.85,56,0,6.91,US,1673195997
Lebu,-37.6167,-73.65,66.87,70,3,9.31,CL,1673196090
Hobart,-42.8794,147.3294,60.66,88,2,8.05,AU,1673195826
Zabul Province,32.25,67.25,34.88,100,100,2.62,AF,1673196092
Keningau,5.3378,116.1602,71.37,99,100,1.16,MY,1673196094
La Spezia,44.1105,9.8434,59.0,91,100,5.99,IT,1673196095
Rock Sound,24.9,-76.2,75.33,78,86,16.6,BS,1673196096
Atuona,-9.8,-139.0333,78.33,73,2,15.35,PF,1673196098
Mandalgovi,45.7625,106.2708,14.86,63,0,4.74,MN,1673196099
Yulara,-25.2406,130.9889,69.84,55,100,19.55,AU,1673196100
Kununurra,-15.7667,128.7333,76.98,88,61,1.14,AU,1673196102
Atbasar,51.8,68.3333,-12.98,94,95,13.51,KZ,1673196103
Kavieng,-2.5744,150.7967,81.55,77,76,9.73,PG,1673196104
Dingle,10.9995,122.6711,72.81,91,100,8.52,PH,1673196106
Jega,12.2175,4.3792,87.13,12,16,8.99,NG,1673196107
Cape Town,-33.9258,18.4232,73.81,75,0,23.02,ZA,1673195932
Fortuna,40.5982,-124.1573,50.34,94,40,10.36,US,1673196109
Nola,40.922,14.5329,59.41,89,53,4.92,IT,1673196111
Bredasdorp,-34.5322,20.0403,71.85,71,0,10.31,ZA,1673196112
Mataura,-46.1927,168.8643,48.11,92,0,2.73,NZ,1673196113
Ponta do Sol,32.6667,-17.1,70.0,79,74,7.27,PT,1673196115
Port Hedland,-20.3167,118.5667,80.65,83,75,10.36,AU,1673196116
Busselton,-33.65,115.3333,58.96,84,0,13.51,AU,1673196117
Avarua,-21.2078,-159.775,73.45,94,75,6.91,CK,1673195901
Saint Paul Harbor,57.79,-152.4072,27.91,74,40,11.5,US,1673196120
Carnarvon,-24.8667,113.6333,74.68,73,0,24.83,AU,1673196121
Arraial do Cabo,-22.9661,-42.0278,73.36,94,75,8.05,BR,1673196122
Simao,22.7886,100.9748,48.81,75,0,2.59,CN,1673196125
George Town,5.4112,100.3354,80.53,87,20,3.44,MY,1673196127
Alta Floresta,-9.8756,-56.0861,73.49,94,100,1.5,BR,1673196129
Qandala,11.472,49.8728,76.3,77,6,9.22,SO,1673196130
Aklavik,68.2191,-135.0107,-13.09,98,100,1.68,CA,1673196131
Molepolole,-24.4066,25.4951,77.14,35,58,8.99,BW,1673196133
Mahébourg,-20.4081,57.7,79.25,78,40,8.05,MU,1673196134
Lubyany,56.0378,51.4,-28.19,99,22,4.74,RU,1673196135
Kapaa,22.0752,-159.319,66.18,88,0,8.05,US,1673196137
Tual,-5.6667,132.75,82.89,77,100,13.51,ID,1673196138
Qaanaaq,77.484,-69.3632,-15.45,96,99,4.34,GL,1673196139
Bluff,-46.6,168.3333,53.46,82,0,4.74,NZ,1673196141
Mount Gambier,-37.8333,140.7667,57.96,95,11,7.63,AU,1673196142
Mount Isa,-20.7333,139.5,78.57,83,40,9.22,AU,1673196143
São João da Barra,-21.6403,-41.0511,75.29,86,99,10.63,BR,1673196145
Ust-Tsilma,65.441,52.1498,-33.97,100,78,2.77,RU,1673196146
Kpandu,6.9954,0.2931,85.82,32,27,2.86,GH,1673196148
East London,-33.0153,27.9116,74.34,73,0,18.41,ZA,1673196149
Cairns,-16.9167,145.7667,80.06,97,100,8.05,AU,1673196150
Dunmore Town,25.5,-76.65,73.29,77,97,15.14,BS,1673196151
Saskylakh,71.9167,114.0833,-35.95,100,100,2.51,RU,1673196153
Bridlington,54.0831,-0.1919,44.89,77,100,21.52,GB,1673196154
Morro Bay,35.3658,-120.8499,55.33,94,100,5.01,US,1673196155
Tai’an,36.1853,117.12,39.74,43,2,5.59,CN,1673196157
Sumkino,58.1108,68.3244,-16.53,92,100,11.92,RU,1673196158
Stawell,-37.05,142.7667,67.17,47,3,6.53,AU,1673196159
Chui,-33.6971,-53.4616,78.82,52,2,14.85,UY,1673196161
Salalah,17.0151,54.0924,77.09,69,40,5.75,OM,1673196162
Nizhniy Kuranakh,58.8353,125.4869,-3.1,97,100,4.45,RU,1673196163
Galesong,-5.3166,119.3661,77.02,80,96,5.79,ID,1673196165
Hilo,19.7297,-155.09,79.29,72,75,6.91,US,1673196166
Monte Plata,18.807,-69.784,83.01,82,58,8.19,DO,1673196167
Buraidah,26.326,43.975,59.45,52,100,8.93,SA,1673196169
Acaraú,-2.8856,-40.12,87.89,54,70,17.83,BR,1673196170
Zemetchino,53.4973,42.6163,2.91,96,99,5.93,RU,1673196171
Lixouri,38.2019,20.4314,59.0,77,20,0.0,GR,1673196171
Beroroha,-21.6667,45.1667,76.39,89,99,2.3,MG,1673196174
Butaritari,3.0707,172.7902,80.11,80,39,10.85,KI,1673196175
Khatanga,71.9667,102.5,-56.15,100,68,3.85,RU,1673196176
Longyearbyen,78.2186,15.6401,24.64,63,40,10.36,SJ,1673196074
Tuatapere,-46.1333,167.6833,54.7,85,0,2.77,NZ,1673196179
Tumut,-35.3,148.2167,60.42,61,12,3.65,AU,1673196180
Yellowknife,62.456,-114.3525,-8.39,100,98,5.28,CA,1673196005
Altay,47.8667,88.1167,30.16,88,99,3.18,CN,1673196182
Phang Nga,8.4509,98.5298,77.04,92,84,4.27,TH,1673196184
Jamestown,42.097,-79.2353,30.02,68,100,5.99,US,1673196185
Castro,-24.7911,-50.0119,72.36,64,47,6.2,BR,1673196187
Asău,46.4333,26.4,34.72,97,94,3.87,RO,1673196188
Hofn,64.2539,-15.2082,39.22,60,20,23.02,IS,1673196190
Tasiilaq,65.6145,-37.6368,15.96,51,73,6.33,GL,1673196191
Norman Wells,65.282,-126.8329,-2.16,78,75,8.05,CA,1673196192
Chokurdakh,70.6333,147.9167,-16.11,98,100,5.99,RU,1673196194
Tatarskaya Kargala,51.9495,55.1731,-21.98,99,100,3.58,RU,1673196195
Quatre Cocos,-20.2078,57.7625,79.09,75,13,12.37,MU,1673196196
Nuuk,64.1835,-51.7216,27.21,80,100,10.36,GL,1673195923
Lavrentiya,65.5833,-171.0,-7.24,96,19,5.12,RU,1673196199
Várzea da Palma,-17.5981,-44.7308,76.48,78,99,1.97,BR,1673196200
Sancti Spíritus,21.9297,-79.4425,84.74,50,19,11.07,CU,1673196202
Nikolskoye,59.7035,30.7861,5.81,82,45,8.52,RU,1673196203
Cidreira,-30.1811,-50.2056,74.82,72,0,14.76,BR,1673196204
Upernavik,72.7868,-56.1549,-16.01,95,81,10.07,GL,1673196206
Cururupu,-1.8283,-44.8683,87.1,56,77,7.7,BR,1673196207
Rawson,-43.3002,-65.1023,95.09,26,98,21.9,AR,1673196056
Lüderitz,-26.6481,15.1594,67.39,73,0,4.76,NA,1673196210
Banda Aceh,5.5577,95.3222,77.34,81,88,5.91,ID,1673196211
Lázaro Cárdenas,17.9583,-102.2,82.04,59,0,3.44,MX,1673196212
Khorramshahr,30.4397,48.1664,60.75,63,40,2.3,IR,1673196214
Tabou,4.423,-7.3528,84.42,65,16,9.84,CI,1673196215
Meridian,43.6121,-116.3915,43.65,66,100,14.97,US,1673196017
Bikin,46.8161,134.26,2.66,97,100,1.77,RU,1673196217
Saint-Augustin,51.226,-58.6502,11.75,70,23,14.29,CA,1673196219
Riedlingen,48.1545,9.4756,44.13,94,100,2.06,DE,1673196220
Houston,29.7633,-95.3633,62.19,75,40,9.22,US,1673195945
Mubi,10.2676,13.2644,77.27,16,100,6.87,NG,1673196222
São Félix do Xingu,-6.6447,-51.995,88.21,55,31,2.1,BR,1673196224
Paamiut,61.994,-49.6678,26.92,71,100,12.48,GL,1673196225
Keuruu,62.2667,24.7,15.8,94,100,13.98,FI,1673196226
Lata,40.1629,-8.3327,59.92,98,100,7.56,PT,1673196228
Mossamedes,-15.1961,12.1522,73.45,70,100,8.79,AO,1673196229
Praia da Vitória,38.7333,-27.0667,66.45,77,75,8.1,PT,1673196230
Nantucket,41.2835,-70.0995,35.65,77,84,7.18,US,1673196232
Olafsvik,64.8945,-23.7142,33.94,74,100,37.33,IS,1673196233
Dzerzhinsk,56.2389,43.4631,-16.78,76,0,0.0,RU,1673196234
Pastos Bons,-6.6017,-44.0767,89.85,49,36,1.95,BR,1673196236
Saint George,37.1041,-113.5841,42.26,81,0,3.44,US,1673196124
Half Moon Bay,37.4636,-122.4286,57.74,86,40,8.05,US,1673196238
Pangnirtung,66.1451,-65.7125,-10.5,71,72,4.79,CA,1673196239
Sangar,63.9242,127.4739,-18.8,95,100,7.83,RU,1673196241
Minna,9.6139,6.5569,94.71,10,0,8.05,NG,1673196242
Kasongo-Lunda,-6.4667,16.8167,70.34,93,100,1.48,CD,1673196244
Ancud,-41.8697,-73.8203,64.11,76,70,9.46,CL,1673196245
Bengkulu,-3.8004,102.2655,74.84,90,100,5.55,ID,1673196246
Carutapera,-1.195,-46.02,84.16,69,77,8.77,BR,1673196248
Hong Kong,22.2855,114.1577,66.33,74,100,8.01,HK,1673196234
Bafra,41.5678,35.9069,39.25,91,100,4.12,TR,1673196250
Husavik,66.0449,-17.3389,34.74,99,100,13.2,IS,1673196252
Wasilla,61.5814,-149.4394,2.48,81,0,3.44,US,1673195990
Esperance,-33.8667,121.9,59.72,87,0,8.28,AU,1673196254
Talnakh,69.4865,88.3972,-23.8,97,100,11.77,RU,1673196255
Alexandria,31.2156,29.9553,60.76,77,40,10.36,EG,1673196253
Altamont,42.2068,-121.7372,36.9,91,100,18.41,US,1673196258
Skole,49.0372,23.5135,40.46,89,99,5.32,UA,1673196259
Tiksi,71.6872,128.8694,-42.23,100,92,1.61,RU,1673196261
Guerrero Negro,27.9769,-114.0611,64.22,52,15,6.62,MX,1673196262
Marawi,7.9986,124.2928,65.97,97,99,1.97,PH,1673196263
Narsaq,60.9167,-46.05,14.22,71,100,8.48,GL,1673196265
Shache,38.4167,77.2406,30.31,33,100,0.85,CN,1673196266
Port Elizabeth,-33.918,25.5701,74.32,74,20,16.11,ZA,1673196005
Comodoro Rivadavia,-45.8667,-67.5,80.46,34,0,14.97,AR,1673196269
Ixtapa,20.7,-105.2,85.26,21,0,3.58,MX,1673196270
Yuzhno-Kurilsk,44.0306,145.8556,22.84,71,17,4.45,RU,1673196271
Villazón,-22.0866,-65.5942,57.31,50,72,10.25,BO,1673196272
Maun,-19.9833,23.4167,85.96,42,40,13.8,BW,1673196072
Los Llanos de Aridane,28.6585,-17.9182,66.13,66,20,6.91,ES,1673196275
Chapais,49.7834,-74.8492,10.18,90,100,10.96,CA,1673196276
Adrar,20.5022,-10.0711,73.31,11,99,13.96,MR,1673196277
Katangli,51.7102,143.2326,-1.88,94,100,4.56,RU,1673196279
San Cristobal,7.7669,-72.225,73.58,56,46,4.74,VE,1673196280
Muzaffarabad,34.37,73.4711,53.44,85,100,5.44,PK,1673196281
Kisangani,0.5167,25.2,77.88,43,100,2.89,CD,1673196283
Haines Junction,60.7522,-137.5108,13.39,98,100,1.28,CA,1673196284
Champerico,14.3,-91.9167,88.34,60,0,5.55,GT,1673196285
Biak,-0.9131,122.8766,77.32,73,100,5.28,ID,1673196287
Pisco,-13.7,-76.2167,68.05,88,100,10.36,PE,1673196288
San Fernando del Valle de Catamarca,-28.4696,-65.7852,87.06,37,87,7.0,AR,1673196289
Sibu,2.3,111.8167,71.91,100,40,5.01,MY,1673196215
Coyhaique,-45.5752,-72.0662,72.21,60,75,4.61,CL,1673196292
Amga,60.8953,131.9608,-16.01,100,100,1.19,RU,1673196293
Ogembo,-0.7984,34.7253,63.28,76,82,3.31,KE,1673196294
Abu Dhabi,24.4667,54.3667,69.91,67,0,4.61,AE,1673196135
Alofi,-19.0595,-169.9187,78.69,94,100,10.36,NU,1673196247
Yarim,14.298,44.3779,52.95,78,77,2.15,YE,1673196298
Isangel,-19.55,169.2667,81.1,89,100,22.39,VU,1673196299
Aného,6.2333,1.6,88.0,70,64,12.26,TG,1673196301
Sitka,57.0531,-135.33,40.89,75,20,4.61,US,1673196302
Kahului,20.8947,-156.47,69.82,83,100,0.0,US,1673196304
Saint-Philippe,-21.3585,55.7679,81.99,80,47,13.09,RE,1673196305
Moose Factory,51.2585,-80.6094,24.8,86,100,10.36,CA,1673196307
Hitchin,51.9531,-0.2652,46.26,92,75,11.5,GB,1673196309
Tezu,27.9167,96.1667,58.98,41,0,4.27,IN,1673196268
Carauari,-4.8828,-66.8958,73.67,98,100,1.07,BR,1673196312
Ambilobe,-13.2,49.05,75.92,88,86,2.8,MG,1673196313
San Patricio,28.017,-97.5169,64.17,72,100,9.82,US,1673196315
Saint-Joseph,-21.3667,55.6167,80.98,79,40,11.03,RE,1673196316
Xifeng,42.7372,124.7222,9.09,89,70,3.44,CN,1673196318
Massakory,12.996,15.7293,79.16,12,81,9.17,TD,1673196319
Gaza,31.5,34.4667,60.87,66,6,3.4,PS,1673196320
Sarakhs,36.5449,61.1577,45.21,64,3,6.78,IR,1673196322
Ishigaki,24.3448,124.1572,68.13,68,75,11.5,JP,1673196323
Fort Nelson,58.8053,-122.7002,0.99,85,75,2.3,CA,1673196099
İdil,37.3411,41.8895,39.13,87,40,6.91,TR,1673196325
Ranong,9.9658,98.6348,73.58,86,45,4.43,TH,1673196327
Airai,-8.9266,125.4092,59.14,91,73,1.43,TL,1673196328
Mokrous,51.2333,47.5167,2.68,91,98,10.13,RU,1673196329
The Valley,18.217,-63.0578,82.54,74,20,13.8,AI,1673196331
Thompson,55.7435,-97.8558,10.56,92,75,6.91,CA,1673196225
Hasaki,35.7333,140.8333,41.22,60,98,6.11,JP,1673196333
Namwala,-15.7504,26.4384,66.49,97,99,6.64,ZM,1673196335
Olinda,-8.0089,-34.8553,83.93,61,75,10.36,BR,1673196336
Gravelbourg,49.8834,-106.5512,16.07,82,87,6.08,CA,1673196337
Gaziantep,37.0594,37.3825,35.53,81,0,3.44,TR,1673196339
Rio Grande,-32.035,-52.0986,82.51,60,29,16.58,BR,1673196304
Brekstad,63.687,9.6654,47.01,65,0,16.11,NO,1673196341
Krasnosel'kup,65.7,82.4667,-42.48,100,52,3.15,RU,1673196342
Plouzané,48.3833,-4.6167,48.25,74,0,18.41,FR,1673196344
Weligama,5.9667,80.4167,75.13,87,9,4.16,LK,1673196345
Vao,-22.6667,167.4833,78.15,83,80,22.48,NC,1673196346
Flinders,-34.5833,150.8552,60.19,85,2,3.0,AU,1673196348
Belchertown,42.277,-72.4009,35.67,66,3,2.46,US,1673196349
Samoded,63.6083,40.5111,-10.35,100,95,2.86,RU,1673196350
Port Hawkesbury,45.6169,-61.3485,27.59,80,100,25.99,CA,1673196352
Sokoni,-6.4333,39.55,84.06,79,19,11.95,TZ,1673196353
Richards Bay,-28.783,32.0377,69.58,78,7,6.55,ZA,1673196354
Sikeston,36.8767,-89.5879,42.91,75,100,6.91,US,1673196356
Maningrida,-12.0667,134.2667,78.4,87,82,8.08,AU,1673196357
Safaga,26.7292,33.9365,66.92,49,68,4.68,EG,1673196358
Pacifica,37.6138,-122.4869,57.56,85,75,8.05,US,1673196360
Waddān,29.1614,16.139,60.08,52,34,10.27,LY,1673196361
Rincon,32.296,-81.2354,63.91,47,75,0.0,US,1673196363
Touros,-5.1989,-35.4608,84.24,64,92,12.84,BR,1673196364
Bose,45.4612,8.0137,43.16,94,100,1.79,IT,1673196366
Xining,36.6167,101.7667,28.58,22,91,1.5,CN,1673196367
Sampit,-2.5333,112.95,74.16,97,99,2.37,ID,1673196369
San Jose,37.3394,-121.895,56.73,88,40,5.75,US,1673196370
Brooks,50.5834,-111.8851,21.18,86,100,8.05,CA,1673196333
Kabanjahe,3.1001,98.4908,61.21,96,100,2.17,ID,1673196373
Río Gallegos,-51.6226,-69.2181,80.65,28,75,25.32,AR,1673196098
Saint-François,46.4154,3.9054,49.44,91,97,2.3,FR,1673196376
Skibotn,69.3913,20.2679,16.95,86,100,26.6,NO,1673196377
Kaeo,-35.1,173.7833,66.33,94,67,11.7,NZ,1673196379
Mareeba,-17.0,145.4333,75.43,95,84,1.59,AU,1673196380
Vila Velha,-20.3297,-40.2925,78.75,87,20,14.97,BR,1673196382
Leningradskiy,69.3833,178.4167,-21.89,97,86,3.47,RU,1673196383
Tarko-Sale,64.9225,77.785,-34.73,99,16,7.56,RU,1673196385
The Hammocks,25.6715,-80.4445,79.02,66,100,9.22,US,1673196386
Klaksvík,62.2266,-6.589,41.92,85,69,38.39,FO,1673196387
Vulcan,45.3833,23.2667,33.67,89,11,3.6,RO,1673196389
Hithadhoo,-0.6,73.0833,80.33,76,92,5.64,MV,1673196390
Kenora,49.8167,-94.4337,11.37,85,0,8.05,CA,1673196391
Xihe,31.6864,113.4659,52.11,44,0,2.19,CN,1673196393
Henties Bay,-22.116,14.2845,67.89,83,30,7.87,NA,1673196394
Bagenalstown,52.7003,-6.9618,42.67,89,84,7.94,IE,1673196395
Cabo San Lucas,22.8909,-109.9124,71.51,77,0,1.99,MX,1673196258
Harper,4.375,-7.7169,84.25,67,22,10.94,LR,1673196398
